0,0,0.05
0.006,0.1196,0.05
0.0232,0.344,0.05
0.0513,0.5624,0.05
0.0902,0.7788,0.05
0.1399,0.9936,0.05
0.2002,1.205,0.05
0.2708,1.4128,0.05
0.3515,1.6151,0.05
0.442,1.8109,0.05
0.542,1.998,0.05
0.6507,2.1737,0.05
0.7674,2.3354,0.05
0.8913,2.4789,0.05
1.0213,2.5998,0.05
1.1559,2.6922,0.05
1.2912,2.7058,0.05
1.412,2.4165,0.05
1.5205,2.1691,0.05
1.6197,1.9845,0.05
1.7126,1.8583,0.05
1.8024,1.7944,0.05
1.8923,1.799,0.05
1.9865,1.8828,0.05
2.0892,2.0559,0.05
2.2061,2.3375,0.05
2.341,2.6983,0.05
2.497,3.12,0.05
2.6772,3.6037,0.05
2.8844,4.1437,0.05
3.1147,4.6065,0.05
3.3521,4.7468,0.05
3.594,4.839,0.05
3.8383,4.8858,0.05
4.0825,4.8845,0.05
4.3238,4.8251,0.05
4.5603,4.7308,0.05
4.7937,4.6672,0.05
5.0258,4.6428,0.05
5.2581,4.6466,0.05
5.492,4.6756,0.05
5.7284,4.7291,0.05
5.9688,4.8071,0.05
6.2145,4.9152,0.05
6.4517,4.7447,0.05
6.6671,4.306,0.05
6.8603,3.8658,0.05
7.0333,3.4591,0.05
7.1874,3.0807,0.05
7.3237,2.7251,0.05
7.443,2.387,0.05
7.5462,2.0626,0.05
7.6336,1.7491,0.05
7.7059,1.4434,0.05
7.7631,1.144,0.05
7.8056,0.8494,0.05
7.8336,0.5573,0.05
7.8471,0.2646,0.05
